asp 8-1
downgrade 11.8.0-1
game-devices-udev 0.25-0.1
google-chrome 145.0.7632.75-1
hyprqt6engine 0.1.0-2
i386-elf-binutils 2.45.1-1
i386-elf-gcc 15.2.0-1
jpacker v1.2.0.r2.g58a13cd-1
keyleds-git r295.1713616-2
lib32-openssl-1.1 1.1.1.w-3
mingw-w64-lua 5.5.0-1
nkf 2.1.5-3
nkf-debug 2.1.5-3
openssl-1.1 1.1.1.w-7
proton-ge-custom-bin 1:GE_Proton10_32-1
rtl8761b-firmware 162105963-1
steamcmd latest-6
steamcmd-debug latest-5
tree-sitter-cli-git 0.26.3.r64.g94f4143a-1
tree-sitter-cpp 0.23.4-1
ttf-myricam 2.011.20160403-1
ttf-noto-sans-mono-cjk-vf 2.004-1
visual-studio-code-bin 1.109.4-1
vkd3d-proton-bin 3.0.b-1
x86_64-elf-binutils 2.45-1
x86_64-elf-gcc 15.2.0-1
xorg-font-utils 7.6-6
xpadneo-dkms-git 0.10.pre.r259.gfc1b13a-1
yay 12.5.7-1
